Producto,ALBARAN
'[RN01] Micromotor RENHE119S Completo', 'LOS OLIVOS:LAS PLATAS/00161'
'Root Canal File: K-File Niti, 21mm #45-80 6pcs/blister', 'LA PLATA - TIENDA LIMA/00152'
'Fibra Optica. Tipo A Negro Woodpecker', 'LA PLATA - TIENDA LIMA/00165'
'Root Canal File: K-File SS, 21mm #45-80 6pcs/blister', 'LA PLATA - TIENDA LIMA/00152'
'Fibra Optica LED.C cure', 'LA PLATA - TIENDA LIMA/00165'
'Root Canal File: TG6 Gold 21mm V0-T3 6pcs/blister', 'LA PLATA - TIENDA LIMA/00152'
'Root Canal File: TF4 Gold 25mm #T20, #T25, #T35, #T45 4pcs/blister', 'LA PLATA - TIENDA LIMA/00152'
'Insertos para Scaler. Kit UDS.J,UDS.J2,UDS.J2 LED. Woodpecker', 'LA PLATA - TIENDA LIMA/00165'
'Root Canal File: TG6 Gold 25mm V0-T3 6pcs/blister', 'LA PLATA - TIENDA LIMA/00152'
'Viopaste. Hidróxido de calcio / Sulfato de Bario.', 'LA PLATA - TIENDA LIMA/00165'
'Root Canal File: TG6 Gold 19mm V0 6pcs/blister', 'LA PLATA - TIENDA LIMA/00152'
'Viopex. Hidróxido de calcio / Yodoformo.', 'LA PLATA - TIENDA LIMA/00165'
'#5 Crystal HD. Softgrip mouth mirror. Gray only. Zirc', 'LA PLATA - TIENDA LIMA/00152'
'Cannal Measuring Ruler Gray', 'LA PLATA - TIENDA LIMA/00165'
'Guttapercha 04T#30 Spident ', 'LA PLATA - TIENDA LIMA/00152'
'Cannal Measuring Table', 'LA PLATA - TIENDA LIMA/00165'
'Guttapercha 04T#35 Spident ', 'LA PLATA - TIENDA LIMA/00152'
'[XM1020] Heater Calentador de resina ', 'TIENDA LIMA- LOS OLIVOS/00020'
'Cargador para Lámpara', 'LA PLATA - TIENDA LIMA/00152'
'Core.it_Y Muestra  - N.C.V. 1Jeringa x 10g', 'LA PLATA - TIENDA LIMA/00152'
'[RXG] Dental X-RAY Equipment - Marca Dyson / MODELO: DYS-M 3 Cajas componen un Equipo', 'PRODIS- LOS OLIVOS/00062'
'[XM1020] Heater Calentador de resina ', 'LA PLATA - TIENDA LIMA/00210'
'Curing Light  LED.C cure Woodpecker', 'LA PLATA - TIENDA LIMA/00191'
'Ultrasonic Scaler UDS-J2 LED. Woodpecker', 'LA PLATA - TIENDA LIMA/00242'
'[WTLFC] Tarjeta Base Lámpara. LED.F Completo', 'LOS OLIVOS:LAS PLATAS/00305'
'Hp Mixing Tips Marron x 50 und.', 'LA PLATA - TIENDA LIMA/00265'
'Curing Light  LED.D. Woodpecker', 'LA PLATA - TIENDA LIMA/00291'
'[WMIN] Curing Light  MiniS RTA', 'PRODIS-LAS PLATAS/00002'
'Curing Light  I LED Violeta Woodpecker', 'LA PLATA - TIENDA LIMA/00291'
'Curing Light  I LED Blanco Woodpecker', 'LA PLATA - TIENDA LIMA/00291'
'Endo Motor. Mod: EndoRadar PRO Blanco Woodpecker', 'LA PLATA - TIENDA LIMA/00291'
'Sistema de Imágenes Mod. H2', 'LA PLATA - TIENDA LIMA/00291'
'Curing Light  I LED P BlancoWoodpecker', 'LA PLATA - TIENDA LIMA/00328'